Time (ns)	|TDR_BPI(1,1,0,1,1,0)|[*] : ToTimeDomain
-22.8571	0.000882662
-22.7143	0.000874705
-22.5714	0.000891239
-22.4286	0.00089201
-22.2857	0.000904489
-22.1429	0.000900277
-22	0.000921957
-21.8571	0.000918446
-21.7143	0.000918834
-21.5714	0.000920007
-21.4286	0.000937847
-21.2857	0.000942775
-21.1429	0.00093666
-21	0.000948962
-20.8571	0.00096548
-20.7143	0.000965101
-20.5714	0.000969323
-20.4286	0.000970876
-20.2857	0.000971057
-20.1429	0.00099756
-20	0.000988835
-19.8571	0.00100685
-19.7143	0.00100605
-19.5714	0.00102765
-19.4286	0.00103107
-19.2857	0.00105018
-19.1429	0.00104439
-19	0.00104719
-18.8571	0.00106012
-18.7143	0.00105779
-18.5714	0.00106269
-18.4286	0.00106163
-18.2857	0.00108144
-18.1429	0.00108501
-18	0.00109536
-17.8571	0.00110121
-17.7143	0.00111177
-17.5714	0.00111809
-17.4286	0.00113599
-17.2857	0.00113286
-17.1429	0.00114081
-17	0.0011582
-16.8571	0.00116441
-16.7143	0.00116568
-16.5714	0.00118459
-16.4286	0.00118498
-16.2857	0.00120035
-16.1429	0.0012251
-16	0.00122174
-15.8571	0.00124266
-15.7143	0.00125099
-15.5714	0.00126234
-15.4286	0.00125812
-15.2857	0.001282
-15.1429	0.00128499
-15	0.00131425
-14.8571	0.00131503
-14.7143	0.00134163
-14.5714	0.0013415
-14.4286	0.00136921
-14.2857	0.00137515
-14.1429	0.0013925
-14	0.00140522
-13.8571	0.00141763
-13.7143	0.00143091
-13.5714	0.00143251
-13.4286	0.00145018
-13.2857	0.00145032
-13.1429	0.00147665
-13	0.00148779
-12.8571	0.00150476
-12.7143	0.00150846
-12.5714	0.00152932
-12.4286	0.00154406
-12.2857	0.00155996
-12.1429	0.00158452
-12	0.00158927
-11.8571	0.00161238
-11.7143	0.00162763
-11.5714	0.00164746
-11.4286	0.00166947
-11.2857	0.00168452
-11.1429	0.00171846
-11	0.00172746
-10.8571	0.00176059
-10.7143	0.00177476
-10.5714	0.00179934
-10.4286	0.00183509
-10.2857	0.00184659
-10.1429	0.00188084
-10	0.00189994
-9.85714	0.00194365
-9.71429	0.00196098
-9.57143	0.00198498
-9.42857	0.00200224
-9.28571	0.00203659
-9.14286	0.00206292
-9	0.00209058
-8.85714	0.00213949
-8.71429	0.00217108
-8.57143	0.00219682
-8.42857	0.00223958
-8.28571	0.00227987
-8.14286	0.00232955
-8	0.00235821
-7.85714	0.00242862
-7.71429	0.00230651
-7.57143	0.00235894
-7.42857	0.0025227
-7.28571	0.00212769
-7.14286	0.00189668
-7	0.00266104
-6.85714	0.00248763
-6.71429	0.0026907
-6.57143	0.00284713
-6.42857	0.00286142
-6.28571	0.00280421
-6.14286	0.00291905
-6	0.00285166
-5.85714	0.00300951
-5.71429	0.00290068
-5.57143	0.00314594
-5.42857	0.00320928
-5.28571	0.00345221
-5.14286	0.00348242
-5	0.00353945
-4.85714	0.00362605
-4.71429	0.00373083
-4.57143	0.00382521
-4.42857	0.00382708
-4.28571	0.00404941
-4.14286	0.00411206
-4	0.00423239
-3.85714	0.00433334
-3.71429	0.00447227
-3.57143	0.00465722
-3.42857	0.00491458
-3.28571	0.00499509
-3.14286	0.00530484
-3	0.0054557
-2.85714	0.00563175
-2.71429	0.00583419
-2.57143	0.00619091
-2.42857	0.00634299
-2.28571	0.00676642
-2.14286	0.00695975
-2	0.00744976
-1.85714	0.0078361
-1.71429	0.00839156
-1.57143	0.00883888
-1.42857	0.0105202
-1.28571	0.00990528
-1.14286	0.0108897
-1	0.0125664
-0.857143	0.0130174
